Temperature,Neg,NS,Pos,Total,Expect,Diff,Temperature,Neg,NS,Pos,Total ,,Diff
Frost,49,110,0,159,7.95,-41.05,Frost,40,25,0,65,3.25,-36.75
Cold,39,126,2,167,8.35,-32.65,Cold,32,43,0,75,3.75,-28.25
Cold,71,96,0,167,8.35,-62.65,Cold,62,12,0,74,3.7,-58.3
Summer,0,118,30,148,7.4,-22.6,Summer,4,49,9,62,3.1,-9.9
Warm,0,129,38,167,8.35,-29.65,Warm,1,57,17,75,3.75,-14.25
Warm,0,109,58,167,8.35,-49.65,Warm,0,34,40,74,3.7,-36.3
Diurnal,23,119,13,155,7.75,-28.25,Diurnal,34,25,0,59,2.95,-31.05
Standard,6,143,13,162,8.1,-10.9,Standard,15,57,1,73,3.65,-12.35
Annual,34,177,10,221,11.05,-32.95,Annual,8,54,14,76,3.8,-18.2
Snow,44,161,4,209,10.45,-37.55,Snow,17,48,7,72,3.6,-20.4
Days,8,101,99,208,10.4,-96.6,Days,1,20,51,72,3.6,-48.4
Days,3,68,143,214,10.7,-135.3,Days,1,19,53,73,3.65,-50.35
Simple,58,142,8,208,10.4,-55.6,Simple,40,30,2,72,3.6,-38.4
Simple,70,143,1,214,10.7,-60.3,Simple,38,32,3,73,3.65,-37.35
Max,34,172,2,208,10.4,-25.6,Max,47,25,0,72,3.6,-43.4
Highest,5,223,11,239,11.95,-4.05,Highest,1,65,9,75,3.75,-6.25
Very,3,198,13,214,10.7,-5.3,Very,3,61,9,73,3.65,-8.35
Heavy,8,187,19,214,10.7,-16.3,Heavy,4,52,17,73,3.65,-17.35
TOTAL,455,2522,464,3441,172.05,919,,348,708,232,1288,64.4,580
